Date,Cases,Deaths,Recovered,Travel_history,Province,City
2020-03-22,4,1,0,Unknown,Baluchistan,Quetta
2020-03-23,7,0,0,Local - Social Contact,Sindh,Karachi
2020-03-23,11,0,0,Iran/Taftan,Sindh,Sukkur
2020-03-23,1,0,0,Iran/Taftan,Sindh,Dadu
2020-03-23,5,0,0,Iran/Taftan,Baluchistan,Taftan
2020-03-23,16,1,0,Iran/Taftan,Gilgit-Baltistan,Skardu
2020-03-23,25,0,0,Iran/Taftan,Punjab,Dera Ghazi Khan
2020-03-23,16,0,0,Local - Social Contact,Punjab,Lahore
2020-03-23,1,0,0,Unknown,Khyber Pakhtunkhwa,Mansehra
2020-03-24,8,0,6,Local - Social Contact,Sindh,Karachi
2020-03-24,8,0,0,Iran/Taftan,Sindh,Sukkur
2020-03-24,3,0,10,Local - Social Contact,Sindh,Karachi
2020-03-24,5,0,0,Local - Social Contact,Gilgit-Baltistan,Gilgit
2020-03-24,37,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Dera Ismail Khan
2020-03-24,1,0,0,Iran/Taftan,Federal Administration Tribal Area,South Waziristan
2020-03-24,2,0,0,Unknown,Khyber Pakhtunkhwa,Peshawar
2020-03-24,2,0,0,Unknown,Baluchistan,Quetta
2020-03-24,7,0,0,Local - Social Contact,Punjab,Lahore
2020-03-24,1,0,0,Local - Social Contact,Punjab,Multan
2020-03-24,9,0,0,Local - Social Contact,Punjab,Gujrat 
2020-03-24,3,0,0,Local - Social Contact,Punjab,Gujranwala
2020-03-24,1,0,0,Local - Social Contact,Punjab,Sargodha
2020-03-24,1,0,0,Local - Social Contact,Punjab,Faisalabad
2020-03-24,1,0,0,Local - Social Contact,Punjab,Mandi Bahauddin
2020-03-24,1,0,0,Local - Social Contact,Punjab,Rahim yar khan
2020-03-24,3,0,0,Local - Social Contact,Sindh,Karachi
2020-03-24,21,1,2,Iran/Taftan,Punjab,Dera Ghazi Khan
2020-03-25,5,0,0,International Passenger,Islamabad Capital Territory,Islamabad
2020-03-25,3,0,0,Local - Social Contact,Sindh,Karachi
2020-03-25,0,0,1,Local - Social Contact,Sindh,Hyderabad
2020-03-25,9,0,0,Local - Social Contact,Baluchistan,Quetta
2020-03-25,1,0,0,Unknown,Gilgit-Baltistan,Astore
2020-03-25,39,0,2,Unknown,Khyber Pakhtunkhwa,Mardan
2020-03-25,1,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Dera Ismail Khan
2020-03-25,1,0,0,Unknown,Khyber Pakhtunkhwa,Swabi
2020-03-25,9,0,0,Local - Social Contact,Punjab,Gujrat
2020-03-25,1,0,0,Local - Social Contact,Punjab,Gujranwala
2020-03-25,2,1,0,Iran/Taftan,Punjab,Dera Ghazi Khan
2020-03-25,18,0,1,Unknown,Punjab,Lahore
2020-03-25,1,0,0,Local - Social Contact,Punjab,Multan
2020-03-25,12,0,0,Iran/Taftan,Baluchistan,Quetta
2020-03-25,7,0,0,Unknown,Gilgit-Baltistan,Kharmang
2020-03-25,1,0,0,Dubai,Gilgit-Baltistan,Kharmang
2020-03-26,2,0,0,Unknown,Khyber Pakhtunkhwa,Dir Upper
2020-03-26,1,0,0,Unknown,Khyber Pakhtunkhwa,Swat
2020-03-26,1,0,0,Unknown,Azad Jummu Kashmir,Mirpur
2020-03-26,5,0,0,Unknown,Islamabad Capital Territory,Islamabad
2020-03-26,9,0,0,Local - Social Contact,Sindh,Karachi
2020-03-26,6,0,2,Local - Social Contact,Khyber Pakhtunkhwa,Mardan
2020-03-26,12,0,0,Iran/Taftan,Baluchistan,Quetta
2020-03-26,7,0,2,Unknown,Gilgit-Baltistan,Skardu
2020-03-26,26,0,1,Unknown,Punjab,Lahore
2020-03-26,16,0,0,Iran/Taftan,Punjab,Multan
2020-03-26,1,0,0,Local - Social Contact,Punjab,Gujrat
2020-03-26,16,0,0,Local - Social Contact,Punjab,Jehlum
2020-03-26,12,0,0,Local - Social Contact,Punjab,Rawalpindi
2020-03-26,2,0,0,Local - Social Contact,Punjab,Faisalabad
2020-03-26,2,0,0,Local - Social Contact,Punjab,Mandi Bahauddin
2020-03-26,2,0,0,Local - Social Contact,Punjab,Mianwali
2020-03-26,1,0,0,Local - Social Contact,Punjab,Narowal
2020-03-26,1,0,0,Local - Social Contact,Punjab,Nankana
2020-03-26,1,0,0,Local - Social Contact,Punjab,Attock
2020-03-26,1,0,0,Local - Social Contact,Punjab,Bahawal Nagar
2020-03-26,7,1,0,Iran/Taftan,Punjab,Dera Ghazi Khan
2020-03-27,2,0,0,Local - Social Contact,Islamabad Capital Territory,Islamabad
2020-03-27,11,0,1,Unknown,Gilgit-Baltistan,Shigar
2020-03-27,5,0,0,Unknown,Gilgit-Baltistan,Gilgit
2020-03-27,7,0,0,Iran/Taftan,Sindh,Larkana
2020-03-27,4,0,1,Local - Social Contact,Sindh,Karachi
2020-03-27,7,0,0,Unknown,Khyber Pakhtunkhwa,Peshawar
2020-03-27,2,0,0,Unknown,Khyber Pakhtunkhwa,Swat
2020-03-27,3,0,0,Unknown,Khyber Pakhtunkhwa,Swabi
2020-03-27,1,0,0,Unknown,Khyber Pakhtunkhwa,Shangla
2020-03-27,3,0,0,Unknown,Khyber Pakhtunkhwa,Nowshera
2020-03-27,1,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Orakzai
2020-03-27,34,0,0,Unknown,Khyber Pakhtunkhwa,Mardan
2020-03-27,3,0,0,Unknown,Khyber Pakhtunkhwa,Malakand
2020-03-27,2,0,0,Unknown,Khyber Pakhtunkhwa,Mansehra
2020-03-27,3,0,0,Unknown,Khyber Pakhtunkhwa,Kohat
2020-03-27,2,0,0,Local - Social Contact,Punjab,Lahore
2020-03-27,2,0,0,Local - Social Contact,Punjab,Faisalabad
2020-03-27,30,2,1,Iran/Taftan,Punjab,Multan
2020-03-27,0,0,2,Unknown,Baluchistan,Quetta
2020-03-28,1,0,0,Local - Social Contact,Punjab,Khushab
2020-03-28,1,1,0,Unknown,Khyber Pakhtunkhwa,Dera Ismail Khan
2020-03-28,1,0,0,Unknown,Khyber Pakhtunkhwa,Charsadda
2020-03-28,4,0,0,Unknown,Khyber Pakhtunkhwa,Buner
2020-03-28,1,0,0,Local - Social Contact,Punjab,Nankana
2020-03-28,1,0,0,Local - Social Contact,Punjab,Mandi Bahauddin
2020-03-28,2,0,0,Local - Social Contact,Punjab,Sargodha
2020-03-28,1,0,0,Local - Social Contact,Punjab,Vehari
2020-03-28,26,0,0,Iran/Taftan,Punjab,Multan
2020-03-28,14,0,0,Local - Social Contact,Punjab,Lahore
2020-03-28,4,0,0,Local - Social Contact,Punjab,Faisalabad
2020-03-28,10,0,0,Local - Social Contact,Punjab,Gujranwala
2020-03-28,5,0,0,Local - Social Contact,Punjab,Rawalpindi
2020-03-28,2,0,0,Local - Social Contact,Punjab,Jehlum
2020-03-28,29,0,0,Local - Social Contact,Punjab,Gujrat
2020-03-28,5,0,0,Local - Social Contact,Punjab,Dera Ghazi Khan
2020-03-28,21,0,0,Iran/Taftan,Punjab,Raiwind
2020-03-28,12,0,0,International Passenger,Islamabad Capital Territory,Islamabad
2020-03-28,25,1,0,Local - Social Contact,Sindh,Karachi
2020-03-28,4,0,0,Local - Social Contact,Sindh,Hyderabad
2020-03-28,5,0,0,Local - Social Contact,Baluchistan,Quetta
2020-03-28,8,0,1,Local - Social Contact,Gilgit-Baltistan,Nagar
2020-03-28,1,0,0,Unknown,Khyber Pakhtunkhwa,Dir Lower
2020-03-28,1,0,0,Unknown,Khyber Pakhtunkhwa,Abbottabad
2020-03-29,4,0,1,Local - Social Contact,Islamabad Capital Territory,Islamabad
2020-03-29,0,0,3,Local - Social Contact,Punjab,Lahore
2020-03-29,1,0,0,Local - Social Contact,Punjab,Vehari
2020-03-29,1,0,0,Local - Social Contact,Punjab,Bahawalpur
2020-03-29,3,0,0,Local - Social Contact,Punjab,Gujrat
2020-03-29,7,0,0,Local - Social Contact,Punjab,Jehlum
2020-03-29,1,0,0,Local - Social Contact,Punjab,Gujranwala
2020-03-29,11,0,0,Local - Social Contact,Punjab,Rawalpindi
2020-03-29,5,0,0,Iran/Taftan,Punjab,Raiwind
2020-03-29,1,1,0,Local - Social Contact,Punjab,Rahim Yar Khan
2020-03-29,4,0,0,Unknown,Azad Jummu Kashmir,Muzaffarabad
2020-03-29,33,2,3,Local - Social Contact,Sindh,Karachi
2020-03-29,0,1,0,Local - Social Contact,Gilgit-Baltistan,Nagar
2020-03-29,5,0,0,Unknown,Gilgit-Baltistan,Shigar
2020-03-29,2,0,0,Iran/Taftan,Gilgit-Baltistan,Kharmang
2020-03-29,3,0,0,Local - Social Contact,Gilgit-Baltistan,Astore
2020-03-29,2,0,0,Unknown,Gilgit-Baltistan,Ghanche
2020-03-29,1,1,0,Unknown,Khyber Pakhtunkhwa,Abbottabad
2020-03-29,2,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar
2020-03-29,1,1,0,Unknown,Khyber Pakhtunkhwa,Dir Lower
2020-03-30,8,0,1,Local - Social Contact,Islamabad Capital Territory,Islamabad
2020-03-30,11,0,1,Local - Social Contact,Punjab,Nankana
2020-03-30,14,0,0,Unknown,Punjab,Lahore
2020-03-30,8,0,0,Local - Social Contact,Punjab,Gujrat
